Part name,Man part number,Sup part number,Manufacturer,Datasheet,Supplier link,Qty,Supplier,Reference,Footprint,Item ID
S7 board,G935F motherboard,,Samsung,,https://www.aliexpress.com/item/32gb-Original-unlocked-for-Samsung-Galaxy-S7-edge-G935F-motherboard-with-Chips-Europe-version-for-S7/32808370192.html,1,AliExpress,Mobo assembly,,
S7 USB Flex,G935F flex,,Samsung,,https://www.aliexpress.com/item/32gb-Original-unlocked-for-Samsung-Galaxy-S7-edge-G935F-motherboard-with-Chips-Europe-version-for-S7/32808370192.html,1,AliExpress,Mobo assembly,,
S7 antenna wires (white + blue),G935 antenna wires,,Samsung,,https://www.aliexpress.com/item/5-Pari-lot-OEM-Signal-Antennas-Spare-Parts-for-Samsung-Galaxy-S7-Edge-SM-G935-G935/32699047662.html,1,AliExpress,Mobo assembly,,
S7 rear cam,G935 Hero 2 or Sony rear camera,,Samsung,,https://www.aliexpress.com/item/5-Pari-lot-OEM-Signal-Antennas-Spare-Parts-for-Samsung-Galaxy-S7-Edge-SM-G935-G935/32699047662.html,1,AliExpress,Mobo assembly,,
S7 top antenna panel,G935F top antenna panel,,Samsung,,https://www.aliexpress.com/item/5-pcs-lot-Original-Antenna-Cover-Replacement-For-Samsung-Galaxy-S7-edge-G935-G935F/32724024982.html,1,AliExpress,Mobo assembly,,
S7 loud speaker + GSM antenna panel,G935F bottom antenna panel,,Samsung,,https://www.aliexpress.com/item/5-pcs-lot-OEM-Buzzer-Ringer-Loudspeaker-Assembly-Part-for-Samsung-Galaxy-S7-Edge-G935-G935F/32666237004.html,1,AliExpress,Mobo assembly,,
S7 SIM tray,G935 SIM tray,,generic,,https://www.aliexpress.com/item/5-pcs-lot-OEM-For-Samsung-Galaxy-S7-edge-G935-G935F-G935A-Dual-Sim-Card-Reader/32664675912.html,1,AliExpress,Mobo assembly,,
M1.4 x 5mm screw for plastic pan head,,,generic,,https://www.aliexpress.com/item/500pcs-lot-M1-M1-2-M1-4-M1-7-Stainless-steel-pan-head-philips-type-b/32813683228.html,12,AliExpress,Mobo assembly,,
Glass cover,,,generic,,https://www.aliexpress.com/item/50-pcs-lot-Original-for-Samsung-Galaxy-S7-G930-Back-Rear-Camera-Glass-Lens-Replacement-Glass/32686499894.html,1,AliExpress,Front of enclosure,,
"Double sided tape, long life, water resitant",,,d.i.y.,,,1,,For glass cover,,
USB to FFC adapter board,,,custom PCBA,,https://jlcpcb.com/,1,JLC PCB,See below for details,,
Power to FFC adapter board,,,custom PCBA,,https://jlcpcb.com/,1,JLC PCB,See below for details,,
PSU board,,,custom,,https://jlcpcb.com/,1,JLC PCB,See below for details,,
"Bottom heat sink, 2mm flat, drilled",,,custom,,https://kszyc.en.alibaba.com/,1,KSZYC,Mobo assembly,,
"Top heat sink, 6mm, machined, tapped",,,custom,,https://kszyc.en.alibaba.com/,1,KSZYC,Mobo assembly,,
